address,amount
0x8D5272dD16FFE806d4f2A71aaB5B0DECA3f41722,30000
0xc6151E72330A5f06b09cDc13a6A1883c68690476,30000
0x3c6e75206c1103f53004b5ae39b9F5648A37bE3e,30000
0x2CeBBD6d57bF3E26a9705F7FDD1cDAe182533d27,30000
0xfBC84924Bc23642f7CDaa6d3B1123E4c52860d60,30000
0xCD5ee91EC3D2580758eF3e8394dfd9dfC84B777C,30000
0x6f8B1e1A0D33442EE439cd04D7F637Ab875864e6,30000
0x6563bc3cF4cd05a6052E8631ade714Af6394B05,1500
0xD469C0046276f01965a52aD1A9f9C04F0B566C95,1500
0x017cAD29F99eFb8B2641f401eAA60F3Ef943dE37,1500
0xd4Bd46e7191F5A89e252046A7d0F37eECD3C7295,1500
0x2F958912b4C8Edbc97184Bf815A127a13f96eE2,1500
0xd8FF9E17B9c73B4ABe5Ff615D21F59A81232961,1500
0x4EBDe04c6f1deEA33926493e4bF92A91E46FC46,1500
0x8CaA2fe034C4f89da87E587501C4638A1AF29246,1500
0x2B84f6Ea3367Bf0441088d694e0D66BF4695929,1500
0x0Fd0DAdc8b1fBf0d0490dfe405b889c96BC66780,1500
0x306de02532c1b54D6c0B16fb902a06db60B27112,1500
0xEc5D36F03992283212fa18804E508af6ebA615,1500
0x82c93F298CE6Bdf05eC6ef4b5800f1b6678db464,1500
0x35a32d2ff907347151D3FC79588057B22B7aBEa4,1500
0xFd6ba8E259b54681E2928AEF9F35a669c11D0b23,1500
0xFA0e543469b5F9A45F3fDbA1BC163c878253446,1500
0x5a16C299b9364c466AD967931bC3D0BFd0B056,1500
0x80C827732E47925d019D71421B2c704cFf60dA9,1500
0x81b8045c60DD113DCaA1E4d6605C7A75ce7e0cF1,1500
0x862ee9198A5f51908f52a87fADb06006c5e4a6,1500
0xBBFE1C13DA75F29a3d9F050F21C2747342bAB5,1500
0x24F1De89716aE1fb27432AF16f67dbd9b0a433c5,1500
0x9b82c63022c88c8A984df82A3A971394bcCC04b9,1500
0x0e00DFd122697d544d76FFC09cE13696f0DC9607,1500
0xeE1bD63F9A07605507e9fC25293244D3dB865eC4,1500
0x2Ae0B331A24Ae6842557e9d5Af61F0A2836AE358,1500
0xD50b37cCDE9A30441953Bc47277f3103136209,1500
0xEA19ecE167f78426AD4Ea5b14B810d84CB405aF0,1500
0x1fcBbBD2267b96DC5Ee3153ea7c914257a5A2BE7,1500
0x1888f82B86bd9c50c693eadB92e49cf3318c1A5,1500
0xc3B7d27f0bb820B09fC9eBE09BbF1Ab4FA87A0,1500
0xFce841fc7057991a6020FA511850e8A88F3662c4,1500
0xEF318697956B85DfEd357872d48ea74aec0a8396,1500
0x76c1580CF9d12205d4398b11A0DD0c5cE1ed0905,1500
0x7498dcbCB529B46e1bC3c5e522D8e1643c14606,1500
0x81eCb55A57Eb4322c9B97a7FcfE03158E5AB5F58,1500
0x726CcdbD51EAFE5Bffb048792A958368291722,1500
0xFc8d519ffd849D60d98543492487017a19ff6C36,1500
0x95C71428ec721Ea073eA9dBC9C08e1873610c52,1500
0xBDd4fF62CCa949230762C2B8a2288c231E116aa1,1500
0xeedEb67faE96f257aCBc36AFB7E9419d75FA4E40,1500
0xBd79E78fEC998cfEF19004331f0B97e80Cdf5927,1500
0x9Fdd56519F1b30dEF1cBFbc1d46C6F308a7F48d5,1500
0x9BF91594FfEed86C678441F1811BE2aE3162E3,1500
0xCCb42A065abc3c0D72C329F6AE652b4944D76540,1500
0x971EE0E11cCf83099967633bFE91DcD27fA4920,1500
0x5cdF88D40e56C88fbbA2D45b2Bd6837e5a6Fe3,1500
0xb05bD0e7dBaAfCF72F8B253a90BF1a2f5f8c8180,1500
0x052F551322ab4D6fBD662e27c22Af4127A3C66F0,1500
0xF2ab63f60cEe177d224FeC78445cFefA27cf9974,1500
0x79dA9Ed4E3226EfDADAEd613d488661A40F38b97,1500
0x6fa0B5cCA8F1009541Ff697955813D2AA0C8,1500
0x7cD0Bf781ed607F6196CeA569A20AcE2F414bA2,1500
0x82053fa9505DFBAb217499C8205e55b135d25B01,1500
0x83b9b9942d0A0344a7963039E1Fd430E9F38BC1,1500
0xf3A7969707a63dFeEba79cA628Ce40cD322Cce5,1500
0x4D5159F3FFc6527d26419C4dcAc130A09F0987,1500
0xcF7f891b3ec8388D594489F5F2DE12c7A99A6A32,1500
0x9cD266aBBBf2d3A56592E07e2720c26340E31E69,1500
0xAbec396E25467840959D1288A7B9990315c04C9,1500
0x5233fb7126A0A544b4010d17502C43d473cFA64,1500
0x300C114D7A367c2ace9E753389b9cD1035005,1500
0x7A53a8a70d6024F34CEc096F8dEB4a5183F19056,1500
0xe19DFAff1a2Da82dF87514bFd9c49c6943C428,1500
0xb531C588CB0E46601dd480a2bab2962ca8d30582,1500
0xaeaB7FCAC97f533F16810564f7E45830d17C9382,1500
0xc88d02375ABbE794cECd924C9fDC30f004aB7DD5,1500
0xA0faD2D9Fa3b7001C18B66853eE1D251841f3A5,1500
0xa671363627277597c5c2ae704746394FF05D028,1500
0x8C9F06b23d78C8f4D0fAd857e64552cd77eb330,1500
0xf991Cb15D8aC0477D3B6de9cca6957d6d955Db73,1500
0xF719945B2b17d8BFbc3837F26bAfaF1f74Beb685,1500
0x64F0CFb19aD0c6E170F0E29c7584F5f22b0C6ec3,1500
0xdfC2cC0cE52b322159bdf5d96497De2203abcF3,1500
0x757a9D479F15ecd09F18D06b6131306DA4eD2,1500
0x4Ae65Fec50cd92A05dd3186CCdA9fEc9AF5aD468,1500
0x0dB37F6C6aF59d5A3A95FDeEf41727C81f3606c3,1500
0x9e5D70a514aDD48EC398d0255eEBdB552ae7eE1,1500
0xf27904C5b0Bba187948F52E665Ba71722635c064,1500
